TYPECOM,COM,REG,DEP,TNCC,NCC,NCCENR,LIBELLE
COM,1179,84,1,0,GRIEGES,Grièges,Grièges
COM,1180,84,1,0,GRILLY,Grilly,Grilly
COM,1181,84,1,0,GROISSIAT,Groissiat,Groissiat
COMD,1182,,,0,GROSLEE,Groslée,Groslée
COM,1183,84,1,0,GUEREINS,Guéreins,Guéreins
COM,1184,84,1,1,HAUTECOURT ROMANECHE,Hautecourt-Romanèche,Hautecourt-Romanèche
COM,1185,84,1,0,PLATEAU D HAUTEVILLE,Plateau d'Hauteville,Plateau d'Hauteville
COMD,1185,,,1,HAUTEVILLE LOMPNES,Hauteville-Lompnes,Hauteville-Lompnes
COMD,1186,,,1,HOSTIAZ,Hostiaz,Hostiaz
COM,1187,84,1,0,HAUT VALROMEY,Haut Valromey,Haut Valromey
COM,1188,84,1,1,ILLIAT,Illiat,Illiat
COM,1189,84,1,1,INJOUX GENISSIAT,Injoux-Génissiat,Injoux-Génissiat
COM,1190,84,1,1,INNIMOND,Innimond,Innimond
COM,1191,84,1,1,IZENAVE,Izenave,Izenave
COM,1192,84,1,1,IZERNORE,Izernore,Izernore
COM,1193,84,1,1,IZIEU,Izieu,Izieu
COM,1194,84,1,0,JASSANS RIOTTIER,Jassans-Riottier,Jassans-Riottier
COM,1195,84,1,0,JASSERON,Jasseron,Jasseron
COM,1196,84,1,0,JAYAT,Jayat,Jayat
COM,1197,84,1,0,JOURNANS,Journans,Journans
COM,1198,84,1,0,JOYEUX,Joyeux,Joyeux
COM,1199,84,1,0,JUJURIEUX,Jujurieux,Jujurieux
COM,1200,84,1,0,LABALME,Labalme,Labalme
COM,1202,84,1,0,LAGNIEU,Lagnieu,Lagnieu
COM,1203,84,1,0,LAIZ,Laiz,Laiz
COM,1204,84,1,2,POIZAT LALLEYRIAT,Poizat-Lalleyriat,Le Poizat-Lalleyriat
COMD,1204,,,0,LALLEYRIAT,Lalleyriat,Lalleyriat
COMD,1205,,,0,LANCRANS,Lancrans,Lancrans
COM,1206,84,1,0,LANTENAY,Lantenay,Lantenay
COM,1207,84,1,0,LAPEYROUSE,Lapeyrouse,Lapeyrouse
COM,1208,84,1,0,LAVOURS,Lavours,Lavours
COM,1209,84,1,0,LEAZ,Léaz,Léaz
COM,1210,84,1,0,LELEX,Lélex,Lélex
COM,1211,84,1,0,LENT,Lent,Lent
COM,1212,84,1,0,LESCHEROUX,Lescheroux,Lescheroux
COM,1213,84,1,0,LEYMENT,Leyment,Leyment
COM,1214,84,1,0,LEYSSARD,Leyssard,Leyssard
COM,1215,84,1,0,SURJOUX LHOPITAL,Surjoux-Lhopital,Surjoux-Lhopital
COMD,1215,,,0,LHOPITAL,Lhôpital,Lhôpital
COM,1216,84,1,0,LHUIS,Lhuis,Lhuis
COMD,1218,,,0,LOCHIEU,Lochieu,Lochieu
COM,1219,84,1,0,LOMPNAS,Lompnas,Lompnas
COMD,1221,,,0,LOMPNIEU,Lompnieu,Lompnieu
COM,1224,84,1,0,LOYETTES,Loyettes,Loyettes
COM,1225,84,1,0,LURCY,Lurcy,Lurcy
COM,1227,84,1,0,MAGNIEU,Magnieu,Magnieu
COM,1228,84,1,0,MAILLAT,Maillat,Maillat
COM,1229,84,1,0,MALAFRETAZ,Malafretaz,Malafretaz
COM,1230,84,1,0,MANTENAY MONTLIN,Mantenay-Montlin,Mantenay-Montlin
COM,1231,84,1,0,MANZIAT,Manziat,Manziat
COM,1232,84,1,0,MARBOZ,Marboz,Marboz
COM,1233,84,1,0,MARCHAMP,Marchamp,Marchamp
COM,1234,84,1,0,MARIGNIEU,Marignieu,Marignieu
COM,1235,84,1,0,MARLIEUX,Marlieux,Marlieux
COM,1236,84,1,0,MARSONNAS,Marsonnas,Marsonnas
COM,1237,84,1,0,MARTIGNAT,Martignat,Martignat
COM,1238,84,1,0,MASSIEUX,Massieux,Massieux
COM,1239,84,1,0,MASSIGNIEU DE RIVES,Massignieu-de-Rives,Massignieu-de-Rives
COM,1240,84,1,0,MATAFELON GRANGES,Matafelon-Granges,Matafelon-Granges
COM,1241,84,1,0,MEILLONNAS,Meillonnas,Meillonnas
COM,1242,84,1,0,MERIGNAT,Mérignat,Mérignat
COM,1243,84,1,0,MESSIMY SUR SAONE,Messimy-sur-Saône,Messimy-sur-Saône
COM,1244,84,1,0,MEXIMIEUX,Meximieux,Meximieux
COM,1245,84,1,0,BOHAS MEYRIAT RIGNAT,Bohas-Meyriat-Rignat,Bohas-Meyriat-Rignat
COM,1246,84,1,0,MEZERIAT,Mézériat,Mézériat
COM,1247,84,1,0,MIJOUX,Mijoux,Mijoux
COM,1248,84,1,0,MIONNAY,Mionnay,Mionnay
COM,1249,84,1,0,MIRIBEL,Miribel,Miribel
COM,1250,84,1,0,MISERIEUX,Misérieux,Misérieux
COM,1252,84,1,0,MOGNENEINS,Mogneneins,Mogneneins
COM,1254,84,1,0,MONTAGNAT,Montagnat,Montagnat
COM,1255,84,1,0,MONTAGNIEU,Montagnieu,Montagnieu
COM,1257,84,1,0,MONTANGES,Montanges,Montanges
COM,1258,84,1,0,MONTCEAUX,Montceaux,Montceaux
COM,1259,84,1,0,MONTCET,Montcet,Montcet
COM,1260,84,1,2,MONTELLIER,Montellier,Le Montellier
COM,1261,84,1,0,MONTHIEUX,Monthieux,Monthieux
COM,1262,84,1,0,MONTLUEL,Montluel,Montluel
COM,1263,84,1,0,MONTMERLE SUR SAONE,Montmerle-sur-Saône,Montmerle-sur-Saône
COM,1264,84,1,0,MONTRACOL,Montracol,Montracol
COM,1265,84,1,0,MONTREAL LA CLUSE,Montréal-la-Cluse,Montréal-la-Cluse
COM,1266,84,1,0,MONTREVEL EN BRESSE,Montrevel-en-Bresse,Montrevel-en-Bresse
COM,1267,84,1,0,NURIEUX VOLOGNAT,Nurieux-Volognat,Nurieux-Volognat
COM,1268,84,1,0,MURS ET GELIGNIEUX,Murs-et-Gélignieux,Murs-et-Gélignieux
COM,1269,84,1,0,NANTUA,Nantua,Nantua
COMD,1271,,,0,NATTAGES,Nattages,Nattages
COM,1272,84,1,0,NEUVILLE LES DAMES,Neuville-les-Dames,Neuville-les-Dames
COM,1273,84,1,0,NEUVILLE SUR AIN,Neuville-sur-Ain,Neuville-sur-Ain
COM,1274,84,1,4,NEYROLLES,Neyrolles,Les Neyrolles
COM,1275,84,1,0,NEYRON,Neyron,Neyron
COM,1276,84,1,0,NIEVROZ,Niévroz,Niévroz
COM,1277,84,1,0,NIVOLLET MONTGRIFFON,Nivollet-Montgriffon,Nivollet-Montgriffon
COM,1279,84,1,1,ONCIEU,Oncieu,Oncieu
