COM,REG,DEP,TNCC,NCC,NCCENR
1299,84,1,2,PLANTAY,Plantay
1301,84,1,0,POLLIAT,Polliat
1302,84,1,0,POLLIEU,Pollieu
1303,84,1,0,PONCIN,Poncin
1304,84,1,0,PONT D AIN,Pont-d'Ain
1305,84,1,0,PONT DE VAUX,Pont-de-Vaux
1306,84,1,0,PONT DE VEYLE,Pont-de-Veyle
1307,84,1,0,PORT,Port
1308,84,1,0,POUGNY,Pougny
1309,84,1,0,POUILLAT,Pouillat
1310,84,1,0,PREMEYZEL,Prémeyzel
1311,84,1,0,PREMILLIEU,Prémillieu
1313,84,1,0,PREVESSIN MOENS,Prévessin-Moëns
1314,84,1,0,PRIAY,Priay
1317,84,1,0,RAMASSE,Ramasse
1318,84,1,0,RANCE,Rancé
1319,84,1,0,RELEVANT,Relevant
1320,84,1,0,REPLONGES,Replonges
1321,84,1,0,REVONNAS,Revonnas
1322,84,1,0,REYRIEUX,Reyrieux
1323,84,1,0,REYSSOUZE,Reyssouze
1325,84,1,0,RIGNIEUX LE FRANC,Rignieux-le-Franc
1328,84,1,0,ROMANS,Romans
1329,84,1,0,ROSSILLON,Rossillon
1330,84,1,0,RUFFIEU,Ruffieu
1331,84,1,0,SAINT ALBAN,Saint-Alban
1332,84,1,0,SAINT ANDRE DE BAGE,Saint-André-de-Bâgé
1333,84,1,0,SAINT ANDRE DE CORCY,Saint-André-de-Corcy
1334,84,1,0,SAINT ANDRE D HUIRIAT,Saint-André-d'Huiriat
1335,84,1,0,SAINT ANDRE LE BOUCHOUX,Saint-André-le-Bouchoux
1336,84,1,0,SAINT ANDRE SUR VIEUX JONC,Saint-André-sur-Vieux-Jonc
1337,84,1,0,SAINT BENIGNE,Saint-Bénigne
1338,84,1,0,GROSLEE SAINT BENOIT,Groslée-Saint-Benoit
1339,84,1,0,SAINT BERNARD,Saint-Bernard
1342,84,1,0,SAINTE CROIX,Sainte-Croix
1343,84,1,0,SAINT CYR SUR MENTHON,Saint-Cyr-sur-Menthon
1344,84,1,0,SAINT DENIS LES BOURG,Saint-Denis-lès-Bourg
1345,84,1,0,SAINT DENIS EN BUGEY,Saint-Denis-en-Bugey
1346,84,1,0,SAINT DIDIER D AUSSIAT,Saint-Didier-d'Aussiat
1347,84,1,0,SAINT DIDIER DE FORMANS,Saint-Didier-de-Formans
1348,84,1,0,SAINT DIDIER SUR CHALARONNE,Saint-Didier-sur-Chalaronne
1349,84,1,0,SAINT ELOI,Saint-Éloi
1350,84,1,0,SAINT ETIENNE DU BOIS,Saint-Étienne-du-Bois
1351,84,1,0,SAINT ETIENNE SUR CHALARONNE,Saint-Étienne-sur-Chalaronne
1352,84,1,0,SAINT ETIENNE SUR REYSSOUZE,Saint-Étienne-sur-Reyssouze
1353,84,1,0,SAINTE EUPHEMIE,Sainte-Euphémie
1354,84,1,0,SAINT GENIS POUILLY,Saint-Genis-Pouilly
1355,84,1,0,SAINT GENIS SUR MENTHON,Saint-Genis-sur-Menthon
1356,84,1,0,SAINT GEORGES SUR RENON,Saint-Georges-sur-Renon
1357,84,1,0,SAINT GERMAIN DE JOUX,Saint-Germain-de-Joux
1358,84,1,0,SAINT GERMAIN LES PAROISSES,Saint-Germain-les-Paroisses
