01095,2013,2013,NAIS1319,50
01095,2008,2008,NAIS0813,54
01095,2008,2008,DECE0813,32
01095,1999,1999,DECE9908,46
01096,2013,2013,NAIS1319,74
01096,2008,2008,NAIS0813,58
01096,2008,2008,DECE0813,26
01096,1999,1999,DECE9908,41
01098,2013,2013,NAIS1319,78
01098,2008,2008,NAIS0813,36
01098,2008,2008,DECE0813,40
01098,1999,1999,DECE9908,63
01099,2013,2013,NAIS1319,92
01099,2008,2008,NAIS0813,84
01099,2008,2008,DECE0813,83
01099,1999,1999,DECE9908,131
01100,2013,2013,NAIS1319,4
01100,2008,2008,NAIS0813,5
01100,2008,2008,DECE0813,11
01100,1999,1999,DECE9908,10
01101,2013,2013,NAIS1319,16
01101,2008,2008,NAIS0813,6
01101,2008,2008,DECE0813,6
01101,1999,1999,DECE9908,15
01102,2013,2013,NAIS1319,62
01102,2008,2008,NAIS0813,70
01102,2008,2008,DECE0813,17
01102,1999,1999,DECE9908,57
01103,2013,2013,NAIS1319,108
01103,2008,2008,NAIS0813,48
01103,2008,2008,DECE0813,20
01103,1999,1999,DECE9908,23
01104,2013,2013,NAIS1319,24
01104,2008,2008,NAIS0813,24
01104,2008,2008,DECE0813,11
01104,1999,1999,DECE9908,31
01105,2013,2013,NAIS1319,120
01105,2008,2008,NAIS0813,53
01105,2008,2008,DECE0813,28
01105,1999,1999,DECE9908,41
01106,2013,2013,NAIS1319,8
01106,2008,2008,NAIS0813,10
01106,2008,2008,DECE0813,6
01106,1999,1999,DECE9908,12
01107,2013,2013,NAIS1319,8
01107,2008,2008,NAIS0813,7
01107,2008,2008,DECE0813,4
01107,1999,1999,DECE9908,9
01108,2013,2013,NAIS1319,63
01108,2008,2008,NAIS0813,53
01108,2008,2008,DECE0813,99
01108,1999,1999,DECE9908,204
01109,2013,2013,NAIS1319,148
01109,2008,2008,NAIS0813,106
01109,2008,2008,DECE0813,33
01109,1999,1999,DECE9908,77
01110,2013,2013,NAIS1319,13
01110,2008,2008,NAIS0813,7
01110,2008,2008,DECE0813,3
01110,1999,1999,DECE9908,16
01111,2013,2013,NAIS1319,13
01111,2008,2008,NAIS0813,10
01111,2008,2008,DECE0813,2
01111,1999,1999,DECE9908,13
01112,2013,2013,NAIS1319,35
01112,2008,2008,NAIS0813,29
01112,2008,2008,DECE0813,7
01112,1999,1999,DECE9908,17
01113,2013,2013,NAIS1319,61
01113,2008,2008,NAIS0813,39
01113,2008,2008,DECE0813,28
01113,1999,1999,DECE9908,41
01114,2013,2013,NAIS1319,43
01114,2008,2008,NAIS0813,28
01114,2008,2008,DECE0813,103
01114,1999,1999,DECE9908,131
01115,2013,2013,NAIS1319,111
01115,2008,2008,NAIS0813,90
01115,2008,2008,DECE0813,32
01115,1999,1999,DECE9908,64
